user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
SW_4	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Ga0077546;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_5	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_68	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_9	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_20	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_21	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_88	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__21-14-0-20-64-6;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_29	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_66	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_35	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_52	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__2-12-FULL-35-15;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__GCA-2737665;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UTBCD1;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_89	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_43	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_38	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_64	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Thermoguttaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_62	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_79	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA7805;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_37	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_45	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA11155;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_7	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Ga0074140;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_40	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Ga0074140;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_18	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_13	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_54	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_11	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_28	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_74	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_70	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_55	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_49	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_44	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_84	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_22	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_56	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_71	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_41	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_90	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_58	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_59	d__Bacteria;p__Dadabacteria;c__UBA1144;o__UBA2774;f__UBA2774;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_36	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__UBA6488;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_30	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_67	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_82	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_87	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_78	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_16	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_76	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA6177;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_32	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_65	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SL26;f__SL26;g__UBA11222;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_50	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_61	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_15	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ga0077548;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_91	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhabdus;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_46	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_86	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_69	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA9655;f__UBA9655;g__UBA9655;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_33	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA9655;f__UBA9655;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_26	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077554;f__Ga007554;g__Ga0077554;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_24	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-41;g__Ga0077527;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_63	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-41;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Methylophilaceae;g__Methylotenera_A;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_57	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Hylemonella;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_17	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Berkiellales;f__UBA6186;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_19	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Berkiellales;f__Berkiellaceae;g__Berkiella;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_10	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Francisellales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_14	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA1113;f__UBA1113;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_25	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA1113;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_53	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6002;f__UBA6002;g__UBA6002;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_42	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__UBA11403;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_27	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_39	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_73	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_80	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_31	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella_B;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_83	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
SW_72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HB2-32-21;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
SW_51	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
