user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
DeMMO1_6	d__Bacteria;p__UBA9089;c__CG2-30-40-21;o__CG2-30-40-21;f__CG2-30-40-21;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO1_19	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiia;o__Parachlamydiales;f__;g__;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO1_3	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1784;f__GWF2-50-93;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO1_20	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_P;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO1_17	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__HDB-SIOI813;f__HDB-SIOI813;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO1_5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO1_12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Hydrogenophilaceae;g__Thiobacillus;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO1_15	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Gallionellaceae;g__Sideroxydans;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO1_2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Gallionellaceae;g__;s__	None	None	None	None	None	None	None	None	taxonomic novelty determined using RED	None	None
DeMMO1_21	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Gallionellaceae;g__Gallionella;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
DeMMO1_4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Aquabacterium;s__	None	None	None	None	None	None	None	None	taxonomic classification fully defined by topology	None	None
