site,genome,Completeness,Contamination,gene_count,domain,phylum,class,order,family,genus,species
D2,16,81.98,2.96,2672,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,
D2,17,78.95,1.75,2773,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,,
D2,18,78.58,2.61,2463,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,UBA1563,
D2,19,76.7,0,863,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Vogelbacteraceae,,
D2,2,97.73,1.7,3281,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,,
D2,20,75.38,5.38,1730,Bacteria,Omnitrophota,koll11,UBA1572,,,
D2,21,73.36,1.87,1058,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,GCA-2688035,,
D2,22,72.37,1.55,2385,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,UBA9647,
D2,23,71.1,0,936,Bacteria,Patescibacteria,ABY1,Veblenbacterales,UBA10138,,
D2,24,70.79,0,3694,Bacteria,Desulfobacterota,Desulfarculia,Adiutricales,,,
D2,25,69.82,1.85,864,Bacteria,Patescibacteria,Berkelbacteria,2-12-FULL-50-11,,,
D2,26,68.69,0,1076,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,,,
D2,27,68.32,0.99,831,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,,
D2,28,67.84,0.54,2741,Bacteria,Planctomycetota,UBA8742,,,,
D2,29,67.13,1.98,1016,Bacteria,Patescibacteria,ABY1,XYB2-FULL-38-15,,,
D2,3,97.27,2.78,4157,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,
D2,30,66.53,0,1811,Archaea,Nanoarchaeota,Woesearchaeia,SM23-78,SM23-78,,
D2,31,65.75,1.94,2823,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,YD0425bin50,,
D2,32,64.85,2.58,1944,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,BuS5,,
D2,33,64.69,0.54,1750,Bacteria,Omnitrophota,UBA9649,UBA9649,UBA9649,2-02-FULL-67-20,
D2,34,63.91,0.95,1621,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,
D2,35,63.32,0,688,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,UBA12158,
D2,36,62.95,1.1,2557,Bacteria,AABM5-125-24,AABM5-125-24,,,,
D2,37,62.26,0,2776,Bacteria,Zixibacteria,MSB-5A5,,,,
D2,38,60.2,2.87,716,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,,
D2,39,59.84,3.3,1507,Bacteria,Zixibacteria,MSB-5A5,,,,
D2,4,96.7,1.64,2878,Bacteria,Bacteroidota,UBA10030,UBA10030,,,
D2,40,59.83,0,799,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,
D2,41,59.5,0.99,494,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,
D2,42,59.17,2.18,1449,Archaea,Nanoarchaeota,Woesearchaeia,GW2011-AR15,GW2011-AR15,,
D2,43,57.85,1.6,1513,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,COMBO-56-21,
D2,44,57.7,0,1021,Bacteria,Omnitrophota,koll11,UBA10183,UBA10183,UBA10183,
D2,45,57.19,0,1689,Bacteria,Desulfobacterota,Desulfobaccia,RBG-13-43-22,,,
D2,46,55.17,3.45,3484,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Sulfuritalea,
D2,47,55.08,7.78,2901,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,
D2,48,53.64,0,589,Bacteria,Patescibacteria,ABY1,Falkowbacterales,UBA12465,UBA12465,
D2,49,53.16,0,643,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,GCA-002774445,
D2,5,95.16,1.68,1603,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,,
D2,50,52.57,0.93,847,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,1-14-0-10-31-34,1-14-0-10-31-34,
D2,51,52.36,4.77,2280,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,CG2-30-49-12,CG2-30-49-12,
D2,52,51.45,0,844,Bacteria,Patescibacteria,Microgenomatia,UBA10105,,,
D2,53,50.93,0,1308,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,UBA2262,
D2,54,50.86,0,1236,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,RBG-16-64-85,
D2,55,50.01,0.85,1070,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,GWA2-47-10b,,
D2,56,49.92,6.02,3011,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,navibacteriae-3,
D2,57,49.39,8.82,4635,Bacteria,Acidobacteriota,Luteitaleia,,,,
D2,58,47.54,2.2,3842,Bacteria,Latescibacterota,UBA2968,UBA8231,,,
D2,59,46.71,0,801,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,
D2,6,93.89,1.1,2544,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,Zixibacteria-1,,
D2,60,45.54,1.85,546,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,
D2,61,44.87,0.99,562,Bacteria,Patescibacteria,Berkelbacteria,,,,
D2,62,44.44,3.45,421,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Nomurabacteraceae,UBA9973,
D2,63,44.17,0,901,Bacteria,UBA10199,UBA10199,GCA-002796325,1-14-0-20-49-13,,
D2,64,43.61,9.24,1485,Bacteria,MBNT15,MBNT15,MBNT15,,,
D2,65,42.47,3.39,1725,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Thiomonas,
D2,66,41.38,0,557,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,
D2,67,39.83,0,1368,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,,
D2,68,39.66,0,891,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,GCA-002774445,
D2,69,39.13,0,324,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,,,
D2,7,93.46,0,1392,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10161,,
D2,70,38.79,0,889,Bacteria,UBA10199,UBA10199,GCA-002796325,1-14-0-20-49-13,,
D2,71,38.27,3.99,417,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Nomurabacteraceae,UBA9973,
D2,72,37.88,8.24,3475,Bacteria,Omnitrophota,4484-49,,,,
D2,73,37.18,0.91,1164,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,
D2,74,36.23,1.72,561,Bacteria,Zixibacteria,MSB-5A5,,,,
D2,75,34.84,1.49,589,Bacteria,Patescibacteria,Microgenomatia,UBA1400,,,
D2,76,33.82,1.72,1548,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,
D2,77,31.78,0,869,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA11576,,
D2,78,31.15,2.42,272,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,
D2,79,29.51,5.85,1212,Bacteria,Eisenbacteria,RBG-16-71-46,,,,
D2,8,92.44,1.01,2390,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27,
D2,80,28.32,1.14,673,Bacteria,Planctomycetota,Brocadiae,SM23-32,,,
D2,81,26.3,5.27,3854,Bacteria,Desulfobacterota,Desulfobulbia,,,,
D2,82,26.24,0.99,224,Bacteria,Patescibacteria,ABY1,Falkowbacterales,UBA12465,UBA12465,
D2,83,24.11,0,1375,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae_A,,
D2,84,23.17,2.98,595,Bacteria,Patescibacteria,ABY1,Falkowbacterales,GWE2-39-37,,
D2,85,22.34,0,338,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA12445,,
D2,86,21.99,0,297,Bacteria,Patescibacteria,ABY1,Veblenbacterales,,,
D2,87,20.69,0,602,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,
D2,88,20.47,0,1527,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,UBA5066,,
D2,89,20.35,1,923,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619,
D2,9,90.34,5.68,3771,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,,,
D2,90,19.09,0,524,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,,
D2,91,18.69,0,545,Archaea,Micrarchaeota,Iainarchaeia,0-14-0-20-30-16,,,
D2,92,16.79,0,263,Bacteria,Patescibacteria,ABY1,Falkowbacterales,UBA917,,
D2,93,16.55,1.1,564,Bacteria,Zixibacteria,MSB-5A5,,,,
D2,94,15.81,0,1213,Bacteria,Planctomycetota,Brocadiae,,,,
D2,95,15.18,0,317,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae_A,,
D2,96,12.4,0,315,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,,,
D2,97,11.8,0,581,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,,
D2,98,11.78,0.86,530,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Amesbacteraceae,,
D2,99,10.34,0,549,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,
D3,1,100,0,2336,Bacteria,Edwardsbacteria,AC1,AC1,EtOH8,UBA2226,
D3,10,94.38,0,2412,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,,
D3,100,10.18,0,560,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27,
D3,11,93.97,2.59,1980,Bacteria,Actinobacteriota,Thermoleophilia,,,,
D3,12,93.46,0.87,3153,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,
D3,13,93.22,0,1562,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,,
D3,14,93.15,1.51,2076,Bacteria,Desulfobacterota,Desulfobulbia,,,,
D3,15,92.69,2.21,2023,Bacteria,Omnitrophota,koll11,UBA6215,,,
D3,16,92.26,6.96,4678,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA5616,,
D3,17,91.51,1.08,1902,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,,
D3,18,91.06,0,1641,Bacteria,Actinobacteriota,,,,,
D3,19,87.39,3.23,1589,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,UBA9636,
D3,2,98.9,0.55,3488,Bacteria,AABM5-125-24,AABM5-125-24,,,,
D3,20,84.81,0,1338,Archaea,Nanoarchaeota,Woesearchaeia,ARS49,GCA-2687275,,
D3,21,84.78,3.3,2793,Bacteria,Zixibacteria,MSB-5A5,,,,
D3,22,83.52,0.55,2951,Bacteria,Eisenbacteria,RBG-16-71-46,,,,
D3,23,82.94,0.93,1213,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,,
D3,24,78.19,1.87,1252,Archaea,Micrarchaeota,Iainarchaeia,,,,
D3,25,78.04,1.87,1259,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,GCA-2688035,,
D3,26,76.18,0.91,3061,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,UBA6902,
D3,27,75.74,0,1710,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA11576,,
D3,28,75.55,7.76,846,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,UBA12158,
D3,29,72.73,2.91,2814,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,RBG-16-57-11,
D3,3,98.9,4.95,2904,Bacteria,Zixibacteria,MSB-5A5,,,,
D3,30,72.67,0.45,1610,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,
D3,31,72.03,2.26,1910,Bacteria,Desulfobacterota,Desulfomonilia,UBA1062,UBA1062,,
D3,32,71.96,0.97,2933,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11,
D3,33,70.79,0.93,1209,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,,
D3,34,69.31,0,960,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,,
D3,35,68.22,0.93,1531,Archaea,Nanoarchaeota,Woesearchaeia,GW2011-AR9,GW2011-AR9,um-filter-33-13,
D3,36,67.82,2.97,1335,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,UBA12403,
D3,37,67.69,0,1374,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA10107,,
D3,38,67.42,5.56,1108,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,LOWO2-01-FULL-3,2-01-FULL-39-12,
D3,39,66.46,0,1045,Archaea,Thermoplasmatota,CG49143,CG49143,CG49143,CG49143,
D3,4,98.88,0.56,3542,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
D3,40,65.97,2.8,900,Archaea,Nanoarchaeota,Woesearchaeia,Pacearchaeales,GW2011-AR1,,
D3,41,65.45,8.38,2262,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,
D3,42,65.35,0,826,Bacteria,Patescibacteria,ABY1,Uhrbacterales,UBA9934,UBA11707,
D3,43,64.69,1.71,1332,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,XYB2-FULL-48-7,2-01-FULL-53-15,
D3,44,64.17,1.08,1228,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,
D3,45,63,1.14,1260,Bacteria,Planctomycetota,Brocadiae,,,,
D3,46,62.48,3.75,940,Bacteria,Patescibacteria,Paceibacteria,,,,
D3,47,62.25,1.86,1220,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,,,
D3,48,61.37,9.97,1441,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,
D3,49,61.29,2.45,2079,Bacteria,Firmicutes_E,DTU015,UBA995,,,
D3,5,96.77,3.41,3810,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Lentimicrobiaceae,,
D3,50,60.69,3.08,1225,Bacteria,Patescibacteria,Microgenomatia,UBA1400,,,
D3,51,57.27,7.73,3560,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,,
D3,52,56.79,0,1102,Bacteria,Planctomycetota,Brocadiae,,,,
D3,53,56.36,0.18,1776,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,,
D3,54,54.76,0,834,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Collierbacteraceae,UBA10133,
D3,55,52.33,1.83,2032,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,
D3,56,51.65,5.83,1824,Bacteria,Fusobacteriota,,,,,
D3,57,51.31,0.99,1028,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,XYB1-FULL-47-11,
D3,58,50.54,0,965,Bacteria,Patescibacteria,Paceibacteria,UBA6257,1-14-0-10-40-38,,
D3,59,50,0,1592,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,UBA6170 sp1
D3,6,96.37,1.12,3164,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,,
D3,60,49.78,0.09,2221,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,,
D3,61,49.61,0.86,704,Bacteria,Patescibacteria,Dojkabacteria,SC72,GCA-002793355,GCA-002793355,
D3,62,48.89,0.6,1608,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
D3,63,48.1,4.17,1029,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,UBA1369,,
D3,64,46.11,2.73,446,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,CG1-02-41-26,,
D3,65,43.88,2.05,1370,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,,
D3,66,42.11,2.27,1285,Bacteria,Planctomycetota,,,,,
D3,67,40.89,1.71,397,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,,
D3,68,40.28,4.72,4262,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,PLanc-01,
D3,69,39.6,0.11,400,Bacteria,Patescibacteria,ABY1,Veblenbacterales,UBA10138,,
D3,7,95.51,2.25,2797,Bacteria,Goldbacteria-1,Goldbacteria-1,,,,
D3,70,39.17,0,812,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA8480,,
D3,71,39.01,0,588,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,,
D3,72,35.15,0,682,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Beckwithbacteraceae,,
D3,73,34.02,0,1391,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,UBA9628,
D3,74,33.65,4.95,1140,Bacteria,Firmicutes_E,DTU015,UBA8153,,,
D3,75,28.34,0.15,903,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,
D3,76,28.02,4.8,992,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,,
D3,77,27.97,1.14,687,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,,
D3,78,27.94,0,419,Bacteria,Patescibacteria,ABY1,,,,
D3,79,27.03,1.81,1991,Bacteria,Chloroflexota,,,,,
D3,8,95.38,1.82,3803,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,,
D3,80,26.56,1.68,664,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,,
D3,81,25.99,0.55,1488,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,,
D3,82,25.16,0,220,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,
D3,83,24.22,0,432,Bacteria,Omnitrophota,koll11,UBA10183,,,
D3,84,24.14,0.91,402,Bacteria,Actinobacteriota,UBA9087,UBA9087,,,
D3,85,23.66,0.18,748,Bacteria,Bacteroidota,UBA10030,UBA10030,,,
D3,86,22.81,1.75,984,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
D3,87,22.49,0,758,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,
D3,88,22.41,0,428,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,
D3,89,22.02,1.72,1431,Bacteria,OLB16,OLB16,OLB16,OLB16,,
D3,9,94.81,2.73,3317,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,,
D3,90,20.41,0,1014,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,
D3,91,20.41,3.2,499,Archaea,Thermoplasmatota,E2,hermoplasmata-2,hermoplasmata-2,hermoplasmata-2,
D3,92,19.02,0.05,246,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,
D3,93,18.21,1.62,1306,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,
D3,94,15.52,0,270,Bacteria,Patescibacteria,ABY1,Magasanikibacterales,UBA10003,UBA10003,
D3,95,12.19,0,407,Bacteria,UBA10199,UBA10199,2-02-FULL-44-16,,,
D3,96,11.99,0,458,Bacteria,Actinobacteriota,UBA4738,,,,
D3,97,11.16,0,525,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,,
D3,98,10.42,0,819,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,,
D3,99,10.27,0,1003,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,,,
D4,1,96.95,0.29,2147,Bacteria,Proteobacteria,Gammaproteobacteria,Halothiobacillales,Halothiobacillaceae,28-57-27,
D4,10,77.74,1.12,1369,Bacteria,UBA9089,UBA9088,UBA9088,,,
D4,11,77.17,2.12,2063,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,
D4,12,73.12,3.56,2672,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770725.1
D4,13,69.25,0.76,2618,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Dechlorosoma,Dechlorosoma suillum
D4,14,68.27,1.08,915,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D4,15,68.23,1.08,862,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,,
D4,16,64.81,1.2,1132,Bacteria,Planctomycetota,Brocadiae,,,,
D4,17,62.76,2.76,2469,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
D4,18,62.31,2.46,2250,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,,
D4,19,60.41,5.57,2751,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,
D4,2,96.24,1.08,2859,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA6192,
D4,20,57.03,0.99,611,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,
D4,21,56.73,0.99,650,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,,
D4,22,54.62,0,568,Bacteria,Patescibacteria,ABY1,GCA-002771165,,,
D4,23,54.21,0,367,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,,
D4,24,51.72,0,2251,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,GCA_001770775.1
D4,25,50.86,0,2617,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,
D4,26,47.84,7.27,2076,Bacteria,Actinobacteriota,UBA9087,UBA9087,,,
D4,27,47.14,0,741,Archaea,Thermoplasmatota,CG49143,CG49143,CG49143,CG49143,
D4,28,45.84,0,574,Archaea,Thermoplasmatota,CG49143,CG49143,,,
D4,29,44.44,0.9,958,Archaea,Halobacterota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,
D4,3,95.99,1.45,4668,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,
D4,30,42.05,6.45,3122,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,
D4,31,40.83,2.13,1036,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,,,
D4,32,39.48,1.39,632,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,
D4,33,34.75,0,589,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,,
D4,34,32.71,0,559,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,RBG-16-62-10,
